tahun,pendapatan_top1,kekayaan_top1
1965,14.2,20.5
1966,14.3,20.4
1967,14.4,20.5
1968,14.5,20.6
1969,14.6,20.7
1970,14.7,20.8
1971,14.8,20.9
1972,14.9,21.0
1973,15.0,21.1
1974,15.1,21.2
1975,15.2,21.0
1976,15.3,20.9
1977,15.4,20.8
1978,15.5,20.9
1979,15.6,21.0
1980,15.8,21.5
1981,16.0,21.6
1982,16.1,21.4
1983,16.0,21.2
1984,16.1,21.1
1985,16.2,20.8
1986,16.3,20.7
1987,16.5,21.0
1988,16.8,21.4
1989,17.5,21.8
1990,19.4,22.1
1991,18.9,21.8
1992,18.5,21.5
1993,18.2,21.2
1994,18.6,21.4
1995,18.8,21.0
1996,18.9,20.8
1997,18.5,20.0
1998,15.8,18.5
1999,16.2,18.2
2000,16.5,18.5
2001,16.8,18.3
2002,17.0,18.2
2003,17.1,18.0
2004,17.2,18.1
2005,17.2,18.2
2006,17.3,18.5
2007,17.4,18.8
2008,17.5,19.0
2009,17.4,19.2
2010,17.5,19.4
2011,17.6,19.5
2012,17.7,19.6
2013,17.8,19.7
2014,17.8,19.8
2015,17.9,20.0
2016,17.9,20.2
2017,18.0,20.4
2018,18.0,20.5
2019,18.0,20.6
2020,17.8,20.3
2021,17.9,20.5
2022,18.0,20.7
2023,18.0,20.8
2024,18.0,20.8
